time,x,y,z
0:00:03,-0.004245497,0.000494997,-0.000771181
0:00:03,-0.000245497,0.000494997,0.003228819
0:00:03,0.003754503,-0.003505003,0.007228819
0:00:03,0.003754503,0.000494997,0.003228819
0:00:03,0.003754503,0.000494997,-0.000771181
0:00:04,0.003754503,-0.003505003,0.007228819
0:00:04,-0.000245497,0.000494997,0.003228819
0:00:04,-0.000245497,0.000494997,-0.000771181
0:00:04,-0.000245497,0.000494997,-0.000771181
0:00:04,-0.000245497,-0.003505003,-0.000771181
0:00:05,-0.004245497,-0.003505003,0.003228819
0:00:06,-0.000245497,0.000494997,-0.000771181
0:00:06,-0.000245497,0.000494997,0.007228819
0:00:06,-0.000245497,0.000494997,-0.000771181
0:00:06,-0.004245497,0.000494997,0.003228819
0:00:06,-0.000245497,0.000494997,0.007228819
0:00:06,-0.004245497,0.008494997,-0.004771181
0:00:06,-0.000245497,0.000494997,-0.000771181
0:00:06,-0.000245497,0.000494997,0.003228819
0:00:06,-0.004245497,0.000494997,0.003228819
0:00:06,-0.000245497,0.000494997,0.003228819
0:00:06,-0.000245497,-0.003505003,-0.000771181
0:00:06,0.003754503,0.000494997,0.003228819
0:00:07,-0.004245497,0.000494997,0.003228819
0:00:07,-0.000245497,-0.003505003,0.003228819
0:00:07,-0.000245497,-0.003505003,-0.000771181
0:00:07,-0.000245497,0.004494997,0.003228819
0:00:07,-0.000245497,0.000494997,-0.000771181
0:00:07,-0.000245497,-0.003505003,-0.000771181
0:00:07,-0.004245497,0.004494997,-0.000771181
0:00:07,-0.000245497,0.000494997,-0.000771181
0:00:07,-0.000245497,-0.003505003,0.003228819
0:00:07,-0.000245497,-0.003505003,-0.000771181
0:00:07,-0.000245497,-0.003505003,-0.004771181
0:00:07,-0.000245497,0.000494997,0.007228819
0:00:07,-0.000245497,0.000494997,-0.000771181
0:00:08,-0.000245497,-0.003505003,0.003228819
0:00:08,-0.000245497,-0.003505003,-0.000771181
0:00:08,-0.000245497,-0.003505003,-0.000771181
0:00:08,0.003754503,0.000494997,-0.004771181
0:00:08,0.003754503,0.000494997,-0.000771181
0:00:08,-0.004245497,0.000494997,-0.000771181
0:00:08,-0.000245497,0.004494997,-0.004771181
0:00:08,-0.000245497,0.000494997,-0.004771181
0:00:08,-0.004245497,-0.003505003,-0.000771181
0:00:08,0.003754503,0.000494997,0.003228819
